precio,tipo_propiedad,superficie,habitaciones,baños,latitud,longitud,ubicacion,precio_m2,densidad_habitaciones
23400.0,piso,71.0,2,1,36.7611864,-2.6357595,calle Inés,329.5774647887324,0.028169014084507043
23400.0,piso,93.0,2,1,36.7596645,-2.6349076,Barrio Carretera Mojonera - Cortijos de Marín,251.61290322580646,0.021505376344086023
23630.0,chalet,82.0,3,1,36.8882706,-2.4267386,calle Ruano,288.1707317073171,0.036585365853658534
23983.0,piso,54.0,2,1,36.7573004,-2.6531188,"calle Joselito, 4 -2",444.1296296296296,0.037037037037037035
24000.0,chalet,37.0,1,1,37.0042966,-2.9426489,calle Real,648.6486486486486,0.02702702702702703
24000.0,piso,85.0,1,1,37.0069883,-2.9446191,Paterna del Río,282.3529411764706,0.011764705882352941
24000.0,piso,39.0,1,1,37.021869,-2.9545944,Paterna del Río,615.3846153846154,0.02564102564102564
24000.0,piso,77.0,1,1,37.0293869,-2.9962601,Bayarcal,311.68831168831167,0.012987012987012988
24000.0,casa_rural,71.0,2,1,37.0321676,-2.6221189,Alboloduy,338.0281690140845,0.028169014084507043
24000.0,piso,76.0,3,2,36.7630466,-2.6234836,calle Vicente Aleixandre,315.7894736842105,0.039473684210526314
24000.0,piso,43.0,1,1,37.0029815,-2.943723,Paterna del Río,558.1395348837209,0.023255813953488372
24000.0,piso,64.0,3,1,36.8101685,-2.6290548,avenida del Guadalquivir,375.0,0.046875
24000.0,chalet,218.0,4,1,37.1693336,-2.8407456,calle de San Sebastian,110.09174311926606,0.01834862385321101
24000.0,piso,80.0,2,1,37.1424499,-2.77849,"calle Carrichete, 36",300.0,0.025
24000.0,casa_rural,255.0,4,2,37.6932035,-2.0971304,"calle Belén, 1",94.11764705882354,0.01568627450980392
24500.0,piso,44.0,1,1,37.1133684,-2.0149303,Diseminado la Huelga,556.8181818181819,0.022727272727272728
24600.0,piso,92.0,3,2,36.7593827,-2.6354346,calle Rosalía,267.39130434782606,0.03260869565217391
24600.0,piso,49.0,1,1,37.0114517,-2.7379381,calle Juan de la Cruz Esteban Sánchez,502.0408163265306,0.02040816326530612
24950.0,casa_rural,100.0,1,1,37.3531634,-2.0360559,Zurgena,249.5,0.01
24981.0,piso,81.0,3,2,36.7573004,-2.6531188,"calle Joselito, 4 -2",308.4074074074074,0.037037037037037035
24991.0,piso,80.0,3,2,36.7573004,-2.6531188,"calle Joselito, 4 -2",312.3875,0.0375
25000.0,piso,45.0,1,1,37.0049989,-2.9448599,calle la Piscina s/n,555.5555555555555,0.022222222222222223
25000.0,piso,45.0,1,1,37.0163895,-2.9580569,PISCINA s/n,555.5555555555555,0.022222222222222223
25000.0,piso,76.0,2,1,36.7649694,-2.6215397,calle Gerardo Diego,328.94736842105266,0.02631578947368421
25000.0,piso,46.0,1,1,36.8396278,-2.4768307,"calle Remo, 21",543.4782608695652,0.021739130434782608
25000.0,piso,62.0,1,1,37.0215212,-2.9508633,Paterna del Río,403.2258064516129,0.016129032258064516
25000.0,piso,46.0,1,1,36.7681815,-2.6169087,calle Doctor Juan Bravo,543.4782608695652,0.021739130434782608
25000.0,chalet,104.0,3,1,36.7971655,-3.0450143,Extramuros Diseminados,240.3846153846154,0.028846153846153848
25000.0,chalet,230.0,5,1,37.3302736,-2.3043232,calle Castillo Alto,108.69565217391305,0.021739130434782608
25000.0,piso,97.0,3,1,36.8859048,-2.4400651,calle Ramón y Cajal,257.7319587628866,0.030927835051546393
25000.0,piso,87.0,3,1,36.7666302,-2.6226471,calle Rafael Alberti,287.35632183908046,0.034482758620689655
25000.0,chalet,120.0,3,1,37.3410767,-2.5137449,Seron,208.33333333333334,0.025
25000.0,chalet,136.0,3,1,37.6931896,-2.0948105,calle Cruces,183.8235294117647,0.022058823529411766
25000.0,casa_rural,25.0,1,0,37.0018321,-2.669539,camino Río Andarax,1000.0,0.04
25000.0,chalet,79.0,3,2,36.7500808,-3.0166945,calle Noria,316.45569620253167,0.0379746835443038
25000.0,piso,85.0,2,1,37.3578683,-2.3072026,"calle Caracas, 1",294.11764705882354,0.023529411764705882
25000.0,piso,85.0,3,2,36.7633938,-2.622825,calle Júpiter,294.11764705882354,0.03529411764705882
25000.0,piso,70.0,3,1,36.7728897,-2.820116,calle Almería,357.14285714285717,0.04285714285714286
25000.0,piso,70.0,3,1,36.7739178,-2.8196078,calle Almería,357.14285714285717,0.04285714285714286
25000.0,chalet,76.0,4,1,37.08178,-2.00732,"alto Diseminado Gacia, 16",328.94736842105266,0.05263157894736842
25000.0,piso,62.0,2,1,36.8096785,-2.6263204,avenida del Genil,403.2258064516129,0.03225806451612903
25000.0,piso,74.0,3,1,36.8095526,-2.6288165,calle Río Esla,337.8378378378378,0.04054054054054054
25000.0,piso,74.0,3,1,36.8112233,-2.6270705,calle Río Esla,337.8378378378378,0.04054054054054054
25000.0,piso,85.0,3,1,36.7633068,-2.6216615,calle Neptuno,294.11764705882354,0.03529411764705882
25000.0,chalet,192.0,4,1,37.1591047,-2.7182728,"iglesia, 15",130.20833333333334,0.020833333333333332
25000.0,casa_rural,116.0,4,0,37.231657,-2.238735,"calle de las Cruces, 19",215.51724137931035,0.034482758620689655
25000.0,casa_rural,285.0,8,1,37.69085,-2.0972,"calle Oriente, 26",87.71929824561404,0.028070175438596492
25000.0,casa_rural,52.0,1,1,37.2887748,-2.3398369,Laroya,480.7692307692308,0.019230769230769232
25000.0,chalet,139.0,3,2,36.8450238,-2.9543502,"calle el Zacatín, 6",179.85611510791367,0.02158273381294964
25000.0,chalet,193.0,3,2,37.2357374,-2.2666752,"calle Siete Vueltas, 6",129.5336787564767,0.015544041450777202
25000.0,chalet,110.0,1,1,37.3888032,-2.145113,Albox,227.27272727272728,0.00909090909090909
25000.0,chalet,90.0,3,1,37.2374388,-2.2673147,Alcudia de Monteagud,277.77777777777777,0.03333333333333333
25000.0,chalet,90.0,3,1,37.295907,-2.1818509,Albanchez,277.77777777777777,0.03333333333333333
25000.0,casa_rural,41.0,1,1,37.1541456,-2.752005,LOS MILANES s/n SN,609.7560975609756,0.024390243902439025
25000.0,casa_rural,96.0,2,1,37.2320396,-2.2393485,"calle Alcudia, 6",260.4166666666667,0.020833333333333332
25000.0,casa_rural,87.0,5,1,37.3304828,-2.3055069,"calle Polvorin Alto, 4",287.35632183908046,0.05747126436781609
25000.0,casa_rural,150.0,3,2,37.1425873,-2.7780073,"calle Carrichete, 64",166.66666666666666,0.02
25162.0,piso,58.0,2,1,36.7573004,-2.6531188,"calle Joselito, 4 -2",433.82758620689657,0.034482758620689655
25500.0,piso,62.0,2,1,36.9823848,-2.5956784,VULCANO,411.2903225806452,0.03225806451612903
25500.0,chalet,180.0,6,1,37.0386853,-2.7446748,"calle Lucero, 3",141.66666666666666,0.03333333333333333
25700.0,chalet,58.0,3,1,36.8433453,-2.467346,Loma San Cristóbal s/n,443.1034482758621,0.05172413793103448
25780.0,piso,82.0,3,2,36.7573004,-2.6531188,"calle Joselito, 4 -2",314.390243902439,0.036585365853658534
25782.0,piso,85.0,3,2,36.7573004,-2.6531188,"calle Joselito, 4 -2",303.3176470588235,0.03529411764705882
25800.0,piso,40.0,1,1,36.7318245,-2.6341187,calle Bartolomé de las Casas,645.0,0.025
25950.0,chalet,124.0,3,1,37.3858629,-1.9463991,calle Parias,209.2741935483871,0.024193548387096774
26000.0,piso,40.0,2,1,37.0059186,-2.9429547,Paterna del Río,650.0,0.05
26000.0,piso,67.0,2,1,36.8391085,-2.4770819,calle Juan Goytisolo,388.05970149253733,0.029850746268656716
26000.0,piso,79.0,3,2,37.3332379,-2.2985371,avenida Almería,329.11392405063293,0.0379746835443038
26000.0,piso,80.0,1,1,36.7591698,-2.6329316,calle Rosalía,325.0,0.0125
26000.0,piso,47.0,2,1,37.0067136,-2.9452253,Paterna del Río,553.1914893617021,0.0425531914893617
26000.0,piso,101.0,2,1,36.7657985,-2.623895,calle Larache,257.4257425742574,0.019801980198019802
26000.0,piso,118.0,3,2,36.7619824,-2.6218115,calle Pedro Salinas,220.33898305084745,0.025423728813559324
26000.0,piso,60.0,2,1,36.8594376,-2.4493209,calle de Sierra Alhamilla,433.3333333333333,0.03333333333333333
26000.0,piso,90.0,3,1,36.7625623,-2.622276,calle General Prim,288.8888888888889,0.03333333333333333
26000.0,piso,76.0,3,2,36.764728,-2.6246221,calle Gerardo Diego,342.10526315789474,0.039473684210526314
26000.0,piso,86.0,3,1,37.3598403,-2.2597957,calle Sevilla,302.3255813953488,0.03488372093023256
26000.0,piso,76.0,3,1,36.7641382,-2.6234643,"plaza De Andalucía, 18",342.10526315789474,0.039473684210526314
26000.0,piso,86.0,3,2,36.763651,-2.6246751,calle Neptuno,302.3255813953488,0.03488372093023256
26000.0,piso,76.0,3,2,37.3575946,-2.2972076,plaza Alejandro Salazar,342.10526315789474,0.039473684210526314
26173.0,piso,83.0,3,2,36.7573004,-2.6531188,"calle Joselito, 4 -2",315.33734939759034,0.03614457831325301
26190.0,piso,85.0,3,2,36.7573004,-2.6531188,"calle Joselito, 4 -2",308.11764705882354,0.03529411764705882
26300.0,piso,93.0,3,1,37.3323505,-2.3052792,"calle Huertos, 16",282.7956989247312,0.03225806451612903
26400.0,piso,82.0,3,1,36.8080852,-2.6281408,avenida del Guadalquivir,321.9512195121951,0.036585365853658534
26600.0,piso,76.0,3,2,36.7645798,-2.6218832,calle Vicente Aleixandre,350.0,0.039473684210526314
26800.0,piso,86.0,3,2,36.7623531,-2.6225087,calle Neptuno,311.6279069767442,0.03488372093023256
26900.0,chalet,66.0,2,1,36.9745093,-2.9605707,calle Peñuelas,407.57575757575756,0.030303030303030304
26975.0,piso,84.0,3,2,36.7573004,-2.6531188,"calle Joselito, 4 -2",321.1309523809524,0.03571428571428571
27000.0,piso,96.0,4,1,36.7625887,-2.6229706,calle Saturno,281.25,0.041666666666666664
27000.0,chalet,106.0,3,1,36.8401642,-2.4748962,calle Juan Goytisolo,254.71698113207546,0.02830188679245283
27000.0,chalet,76.0,3,1,37.2982776,-1.8823165,Cuevas del Almanzora,355.2631578947368,0.039473684210526314
27000.0,piso,80.0,2,1,37.0048228,-2.9441749,plaza s/n,337.5,0.025
27000.0,piso,95.0,3,2,36.7631201,-2.6232741,calle Rafael Alberti,284.2105263157895,0.031578947368421054
27000.0,piso,65.0,3,1,36.8478552,-2.4612186,calle Campoblanco,415.38461538461536,0.046153846153846156
27000.0,chalet,80.0,3,1,36.9842193,-2.5972236,real s/n,337.5,0.0375
27000.0,casa_rural,76.0,3,0,37.0091652,-2.7425605,Canjayar,355.2631578947368,0.039473684210526314
27000.0,piso,65.0,3,1,36.8469303,-2.4596727,calle Campoblanco,415.38461538461536,0.046153846153846156
27100.0,piso,68.0,2,1,37.0406642,-2.7470207,"calle Rafael Perez, 17 -3",398.52941176470586,0.029411764705882353
27500.0,casa_rural,75.0,2,1,36.9433099,-3.02426,"carretera de Lucainena, 14",366.6666666666667,0.02666666666666667
27500.0,chalet,100.0,4,1,37.7102506,-2.1679266,Maria,275.0,0.04
27600.0,piso,74.0,2,1,37.2891952,-1.8807963,calle el Morro,372.97297297297297,0.02702702702702703
27600.0,piso,110.0,3,1,37.3323505,-2.3052792,"calle Huertos, 16",250.9090909090909,0.02727272727272727
27600.0,piso,70.0,3,1,37.3321538,-2.3043401,Macael,394.2857142857143,0.04285714285714286
28000.0,piso,47.0,1,1,37.0049989,-2.9448599,calle la Piscina s/n,595.7446808510638,0.02127659574468085
28000.0,chalet,91.0,2,2,36.8395171,-2.4781968,calle Valdivia,307.6923076923077,0.02197802197802198
28000.0,piso,43.0,1,1,37.0027566,-2.9450824,Paterna del Río,651.1627906976744,0.023255813953488372
28000.0,piso,49.0,1,1,36.7679905,-2.6163574,calle Doctor Juan Bravo,571.4285714285714,0.02040816326530612
28000.0,piso,72.0,3,1,36.8105902,-2.6284238,calle Río Jándula,388.8888888888889,0.041666666666666664
